xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,subType,scoreDiff,shotPct,clutchFlag
-10,1,1,0,1,Driving Layup Shot,13.0,0.444,0
16,266,27,0,1,Jump Shot,-12.0,0.325,0
1,18,2,1,1,Driving Layup Shot,-12.0,0.469,0
168,250,30,0,1,Jump Shot,-12.0,0.314,0
70,265,27,1,1,Jump Shot,10.0,0.393,0
-2,17,2,1,1,Layup Shot,10.0,0.526,0
228,79,24,0,1,Pullup Jump shot,7.0,0.325,0
-4,10,1,1,1,Dunk Shot,-5.0,0.455,0
4,18,2,1,1,Driving Floating Bank Jump Shot,-5.0,0.526,0
-227,6,0,0,1,Jump Shot,5.0,0.329,0
135,9,14,0,1,Pullup Jump shot,-4.0,0.415,0
-4,26,3,1,1,Driving Layup Shot,-4.0,0.467,0
-172,182,25,0,1,Jump Shot,-4.0,0.216,0
-5,10,1,1,1,Running Layup Shot,2.0,0.469,0
-71,269,28,0,1,Pullup Jump shot,-2.0,0.314,0
-2,115,12,1,1,Jump Shot,0.0,0.526,0
-176,190,26,0,1,Jump Shot,-1.0,0.314,0
-230,27,0,1,1,Jump Shot,-1.0,0.396,0
56,32,6,1,1,Driving Floating Bank Jump Shot,-1.0,0.5,0
13,250,25,1,1,Jump Shot,-4.0,0.36,0
7,33,3,0,1,Layup Shot,4.0,0.609,0
-170,269,32,0,1,Jump Shot,5.0,0.387,0
-5,2,1,0,1,Layup Shot,5.0,0.609,0
1,6,1,1,1,Driving Dunk Shot,-5.0,0.562,0
-4,5,1,1,1,Running Dunk Shot,5.0,0.562,0
-5,8,1,0,1,Hook Shot,-3.0,0.415,0
-156,247,29,0,1,Jump Shot,1.0,0.387,0
157,210,26,0,1,Jump Shot,1.0,0.351,0
-235,41,24,1,1,Jump Shot,2.0,0.358,0
-71,161,18,0,1,Pullup Jump shot,-4.0,0.444,0
-228,-8,0,0,1,Jump Shot,4.0,0.295,0
-164,243,29,0,1,Pullup Jump shot,4.0,0.387,0
104,235,26,0,1,Running Jump Shot,4.0,0.325,0
-188,169,25,0,1,Pullup Jump shot,-5.0,0.349,0
124,237,27,0,1,Jump Shot,6.0,0.396,0
25,148,15,0,1,Fadeaway Jump Shot,6.0,0.526,0
98,242,26,0,1,Jump Shot,5.0,0.36,0
-7,11,1,0,1,Running Layup Shot,5.0,0.415,0
0,0,0,0,1,Tip Layup Shot,-5.0,0.562,0
-228,26,0,0,1,Jump Shot,6.0,0.358,0
6,34,3,0,1,Running Layup Shot,7.0,0.469,0
-179,187,26,1,1,Running Jump Shot,-7.0,0.314,0
-115,27,12,1,1,Turnaround Jump Shot,-7.0,0.526,0
-33,45,6,0,1,Driving Layup Shot,4.0,0.41,0
25,23,3,1,1,Floating Jump shot,-6.0,0.609,0
227,5,0,0,1,Jump Shot,6.0,0.329,0
-225,1,0,0,1,Jump Shot,8.0,0.314,0
-50,153,16,0,1,Running Pull-Up Jump Shot,8.0,0.469,0
-112,115,16,0,1,Turnaround Fadeaway shot,7.0,0.526,0
0,0,0,0,1,Tip Layup Shot,-6.0,0.609,0
174,200,27,0,1,Jump Shot,5.0,0.414,0
-56,147,16,1,1,Step Back Jump shot,5.0,0.444,0
92,127,16,1,1,Pullup Jump shot,-5.0,0.469,0
235,8,24,1,1,Jump Shot,3.0,0.316,0
-232,21,0,1,1,Jump Shot,-5.0,0.351,0
120,117,17,0,1,Pullup Jump shot,4.0,0.469,1
