gameId,actionNumber,teamId,personId,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,location,actionType,subType,shotValue,actionId,scoreDiff,clutchFlag
0022401086,531,1610612744,1642366,Q. Post,9,27,3,0,1,0,0,v,Missed Shot,Hook Shot,2,371,36.0,0
0022401155,503,1610612759,1630572,S. Mamukelashvili,229,20,0,0,1,0,0,v,Missed Shot,Running Jump Shot,3,371,-9.0,0
0022401182,502,1610612759,1631103,M. Branham,-61,52,8,0,1,0,0,v,Missed Shot,Running Layup Shot,2,371,-19.0,0
0022401218,511,1610612759,1630170,D. Vassell,13,34,4,0,1,0,0,h,Missed Shot,Driving Layup Shot,2,371,-4.0,0
0022400025,516,1610612760,1631114,J. Williams,-9,285,29,0,1,0,0,v,Missed Shot,Jump Shot,3,372,-19.0,0
0022400038,521,1610612762,1642268,I. Collier,28,16,3,0,1,0,0,h,Missed Shot,Driving Reverse Layup Shot,2,372,-3.0,0
0022400125,504,1610612760,1630598,A. Wiggins,-15,40,4,1,1,86,75,h,Made Shot,Floating Jump shot,2,372,0.0,0
0022400130,491,1610612762,1628381,J. Collins,-186,172,25,0,1,0,0,h,Missed Shot,Jump Shot,3,372,0.0,0
0022400183,527,1610612759,1641705,V. Wembanyama,83,289,30,0,1,0,0,h,Missed Shot,Jump Shot,3,372,9.0,0
0022400216,517,1610612759,1630572,S. Mamukelashvili,165,187,25,1,1,95,78,h,Made Shot,Jump Shot,3,372,0.0,0
0022400269,536,1610612744,203937,K. Anderson,2,48,5,1,1,76,85,v,Made Shot,Driving Hook Shot,2,372,0.0,0
0022400296,527,1610612759,1642264,S. Castle,16,-2,2,1,1,89,99,h,Made Shot,Running Layup Shot,2,372,0.0,0
0022400354,498,1610612740,1630529,H. Jones,-1,-11,1,1,1,86,82,v,Made Shot,Running Layup Shot,2,372,0.0,0
0022400370,511,1610612759,1630170,D. Vassell,11,22,2,1,1,82,80,h,Made Shot,Driving Finger Roll Layup Shot,2,372,0.0,0
0022400386,503,1610612757,1629014,A. Simons,-203,145,25,0,1,0,0,v,Missed Shot,Jump Shot,3,372,-20.0,0
0022400475,522,1610612743,1631128,C. Braun,-164,215,27,0,1,0,0,h,Missed Shot,Jump Shot,3,372,1.0,0
0022400484,522,1610612759,1629640,K. Johnson,0,0,0,1,1,94,84,h,Made Shot,Putback Layup Shot,2,372,0.0,0
0022400537,519,1610612747,1627827,D. Finney-Smith,0,0,0,1,1,103,85,h,Made Shot,Tip Layup Shot,2,372,16.0,0
